2025-08-25 18:08:00,310 | INFO     | image_processing_api | add_request_id:177 | Request 54916133 started: POST http://ed72b6e851e8.ngrok-free.app/process-images | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:177
2025-08-25 18:08:02,829 | DEBUG    | image_processing_api | process_zip_file:713 | Directory structure: ['6292393310444_0001.jpg', '6292393310444_0002.jpg', 'uploaded.zip'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:713
2025-08-25 18:08:02,829 | DEBUG    | image_processing_api | process_zip_file:721 | File: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:721
2025-08-25 18:08:02,829 | DEBUG    | image_processing_api | process_zip_file:721 | File: 6292393310444_0002.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:721
2025-08-25 18:08:02,829 | DEBUG    | image_processing_api | process_zip_file:721 | File: uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:721
2025-08-25 18:08:02,829 | DEBUG    | image_processing_api | process_zip_file:724 | Loading prompt library | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:724
2025-08-25 18:08:02,829 | DEBUG    | image_processing_api | load_json_file:195 | Loading JSON file: promptlib.json | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:195
2025-08-25 18:08:02,832 | DEBUG    | image_processing_api | load_json_file:200 | Successfully loaded promptlib.json: 111 items | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:200
2025-08-25 18:08:02,832 | INFO     | image_processing_api | process_zip_file:737 | Selecting images from extracted folders | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:737
2025-08-25 18:08:02,832 | INFO     | image_processing_api | process_zip_file:740 | Temp directory contents: ['6292393310444_0001.jpg', '6292393310444_0002.jpg', 'uploaded.zip'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:740
2025-08-25 18:08:02,832 | INFO     | image_processing_api | process_zip_file:747 | Found file: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:747
2025-08-25 18:08:02,832 | INFO     | image_processing_api | process_zip_file:747 | Found file: 6292393310444_0002.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:747
2025-08-25 18:08:02,832 | INFO     | image_processing_api | process_zip_file:747 | Found file: uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:747
2025-08-25 18:08:02,832 | INFO     | image_processing_api | select_all_images_per_folder:449 | Selecting images from base folder: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:449
2025-08-25 18:08:02,832 | INFO     | image_processing_api | select_all_images_per_folder:450 | Base folder exists: True | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:450
2025-08-25 18:08:02,832 | INFO     | image_processing_api | select_all_images_per_folder:451 | Base folder is directory: True | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:451
2025-08-25 18:08:02,832 | DEBUG    | image_processing_api | select_all_images_per_folder:459 | Scanning base folder: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:459
2025-08-25 18:08:02,832 | DEBUG    | image_processing_api | select_all_images_per_folder:461 | Items in base folder: ['6292393310444_0001.jpg', '6292393310444_0002.jpg', 'uploaded.zip'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:461
2025-08-25 18:08:02,832 | INFO     | image_processing_api | select_all_images_per_folder:506 | Detected flat structure - creating virtual folders | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:506
2025-08-25 18:08:02,833 | INFO     | image_processing_api | select_all_images_per_folder:515 | Found 2 images in flat structure | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:515
2025-08-25 18:08:02,833 | INFO     | image_processing_api | select_all_images_per_folder:556 | Created folder group_6292393310444: 2 images (0 model images) | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:556
2025-08-25 18:08:02,833 | INFO     | image_processing_api | select_all_images_per_folder:558 | Total folders processed: 1 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:558
2025-08-25 18:08:02,833 | INFO     | image_processing_api | process_zip_file:754 | Found 1 folders to process | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:754
2025-08-25 18:08:02,833 | INFO     | image_processing_api | process_zip_file:759 | Processing folder: group_6292393310444 with 2 images | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:759
2025-08-25 18:08:02,834 | DEBUG    | image_processing_api | process_zip_file:765 | Detecting gender for folder: group_6292393310444 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:765
2025-08-25 18:08:02,834 | INFO     | image_processing_api | detect_gender_from_image:400 | Detecting gender from image: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:400
2025-08-25 18:08:02,834 | DEBUG    | image_processing_api | api_call_with_retry:241 | Starting API call with retry logic: _detect_gender_internal | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:241
2025-08-25 18:08:02,834 | DEBUG    | image_processing_api | api_call_with_retry:245 | API call attempt 1/5 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:245
2025-08-25 18:08:02,834 | DEBUG    | image_processing_api | encode_image_with_resizing:211 | Processing image: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o/6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:211
2025-08-25 18:08:03,057 | INFO     | image_processing_api | encode_image_with_resizing:223 | Resized image 6292393310444_0001.jpg: (3000, 3000) → (1024, 1024) | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:223
2025-08-25 18:08:03,070 | DEBUG    | image_processing_api | encode_image_with_resizing:232 | Successfully encoded image 6292393310444_0001.jpg to base64 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:232
2025-08-25 18:08:06,798 | DEBUG    | image_processing_api | _detect_gender_internal:428 | OpenAI gender detection response: 'Men' | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:428
2025-08-25 18:08:06,799 | INFO     | image_processing_api | _detect_gender_internal:435 | Gender detected: Men | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:435
2025-08-25 18:08:06,799 | DEBUG    | image_processing_api | api_call_with_retry:247 | API call successful on attempt 1 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:247
2025-08-25 18:08:06,799 | INFO     | image_processing_api | process_zip_file:768 | Gender detected for group_6292393310444: Men | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:768
2025-08-25 18:08:06,799 | DEBUG    | image_processing_api | process_zip_file:771 | Getting background suggestion for folder: group_6292393310444 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:771
2025-08-25 18:08:06,799 | INFO     | image_processing_api | get_background_suggestions:281 | Getting background suggestions for image: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:281
2025-08-25 18:08:06,799 | DEBUG    | image_processing_api | api_call_with_retry:241 | Starting API call with retry logic: _get_background_suggestions_internal | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:241
2025-08-25 18:08:06,799 | DEBUG    | image_processing_api | api_call_with_retry:245 | API call attempt 1/5 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:245
2025-08-25 18:08:06,799 | DEBUG    | image_processing_api | encode_image_with_resizing:211 | Processing image: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o/6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:211
2025-08-25 18:08:07,025 | INFO     | image_processing_api | encode_image_with_resizing:223 | Resized image 6292393310444_0001.jpg: (3000, 3000) → (1024, 1024) | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:223
2025-08-25 18:08:07,035 | DEBUG    | image_processing_api | encode_image_with_resizing:232 | Successfully encoded image 6292393310444_0001.jpg to base64 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:232
2025-08-25 18:08:07,036 | DEBUG    | image_processing_api | _get_background_suggestions_internal:289 | Available backgrounds: 111 options | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:289
2025-08-25 18:08:07,036 | DEBUG    | image_processing_api | _get_background_suggestions_internal:313 | Sending request to OpenAI for background suggestions | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:313
2025-08-25 18:08:08,700 | DEBUG    | image_processing_api | _get_background_suggestions_internal:327 | OpenAI response for background suggestions: 'Urban street' | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:327
2025-08-25 18:08:08,701 | DEBUG    | image_processing_api | _get_background_suggestions_internal:345 | Matched background suggestion: 'Urban street' → 'Urban street' | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:345
2025-08-25 18:08:08,701 | INFO     | image_processing_api | _get_background_suggestions_internal:348 | Background suggestions extracted: ['Urban street'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:348
2025-08-25 18:08:08,701 | DEBUG    | image_processing_api | api_call_with_retry:247 | API call successful on attempt 1 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:247
2025-08-25 18:08:08,701 | INFO     | image_processing_api | process_zip_file:774 | Background suggestion for group_6292393310444: Urban street | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:774
2025-08-25 18:08:08,701 | DEBUG    | image_processing_api | process_zip_file:777 | Generating comprehensive description for folder: group_6292393310444 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:777
2025-08-25 18:08:08,701 | INFO     | image_processing_api | generate_comprehensive_folder_description:563 | Generating comprehensive description for folder with 2 images | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:563
2025-08-25 18:08:08,701 | DEBUG    | image_processing_api | api_call_with_retry:241 | Starting API call with retry logic: _generate_comprehensive_description_internal | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:241
2025-08-25 18:08:08,701 | DEBUG    | image_processing_api | api_call_with_retry:245 | API call attempt 1/5 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:245
2025-08-25 18:08:08,701 | DEBUG    | image_processing_api | _generate_comprehensive_description_internal:569 | Analyzing first image: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:569
2025-08-25 18:08:08,701 | DEBUG    | image_processing_api | encode_image_with_resizing:211 | Processing image: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o/6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:211
2025-08-25 18:08:08,975 | INFO     | image_processing_api | encode_image_with_resizing:223 | Resized image 6292393310444_0001.jpg: (3000, 3000) → (1024, 1024) | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:223
2025-08-25 18:08:08,985 | DEBUG    | image_processing_api | encode_image_with_resizing:232 | Successfully encoded image 6292393310444_0001.jpg to base64 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:232
2025-08-25 18:08:08,985 | DEBUG    | image_processing_api | _generate_comprehensive_description_internal:588 | Sending request to OpenAI for base description | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:588
2025-08-25 18:08:11,337 | DEBUG    | image_processing_api | _generate_comprehensive_description_internal:602 | Base description generated: Wearing a black oversized t-shirt featuring a colorful graphic design of Rick Sanchez on the back, w... | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:602
2025-08-25 18:08:11,337 | INFO     | image_processing_api | _generate_comprehensive_description_internal:606 | Analyzing 1 additional images for enhanced description | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:606
2025-08-25 18:08:11,338 | DEBUG    | image_processing_api | _generate_comprehensive_description_internal:612 | Analyzing additional image 1: 6292393310444_0002.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:612
2025-08-25 18:08:11,338 | DEBUG    | image_processing_api | encode_image_with_resizing:211 | Processing image: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmphz5wjr6o/6292393310444_0002.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:211
2025-08-25 18:08:11,605 | INFO     | image_processing_api | encode_image_with_resizing:223 | Resized image 6292393310444_0002.jpg: (3000, 3000) → (1024, 1024) | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:223
2025-08-25 18:08:11,616 | DEBUG    | image_processing_api | encode_image_with_resizing:232 | Successfully encoded image 6292393310444_0002.jpg to base64 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:232
2025-08-25 18:08:13,726 | DEBUG    | image_processing_api | _generate_comprehensive_description_internal:645 | No additional details from image 1 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:645
2025-08-25 18:08:14,231 | INFO     | image_processing_api | _generate_comprehensive_description_internal:665 | No additional details found, using base description | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:665
2025-08-25 18:08:14,232 | DEBUG    | image_processing_api | api_call_with_retry:247 | API call successful on attempt 1 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:247
2025-08-25 18:08:14,232 | DEBUG    | image_processing_api | clean_description:677 | Cleaning description: Wearing a black oversized t-shirt featuring a colorful graphic design of Rick Sanchez on the back, w... | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:677
2025-08-25 18:08:14,232 | DEBUG    | image_processing_api | clean_description:689 | Cleaned description: Wearing a black oversized t-shirt featuring a colorful graphic design of Rick Sanchez on the back, w... | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:689
2025-08-25 18:08:14,233 | INFO     | image_processing_api | process_zip_file:780 | Description generated for group_6292393310444: Wearing a black oversized t-shirt featuring a colorful graphic design of Rick Sanchez on the back, w... | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:780
2025-08-25 18:08:14,233 | DEBUG    | image_processing_api | modify_backgrounds_for_gender:359 | Modifying backgrounds for gender: Men, suggestions: ['Urban street'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:359
2025-08-25 18:08:14,233 | DEBUG    | image_processing_api | modify_backgrounds_for_gender:366 | No modification needed for gender: Men | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:366
2025-08-25 18:08:14,233 | DEBUG    | image_processing_api | process_zip_file:786 | Finding matching prompt for folder: group_6292393310444 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:786
2025-08-25 18:08:14,233 | DEBUG    | image_processing_api | find_matching_prompt:371 | Finding matching prompt for background: Urban street | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:371
2025-08-25 18:08:14,233 | DEBUG    | image_processing_api | find_matching_prompt:376 | Exact match found: Urban street → Urban street | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:376
2025-08-25 18:08:14,234 | DEBUG    | image_processing_api | process_zip_file:795 | Prompt found for group_6292393310444: Urban street | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:795
2025-08-25 18:08:14,234 | DEBUG    | image_processing_api | process_zip_file:803 | Final prompt text generated for group_6292393310444 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:803
2025-08-25 18:08:14,234 | INFO     | image_processing_api | process_zip_file:819 | Successfully processed folder: group_6292393310444 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:819
2025-08-25 18:08:14,234 | INFO     | image_processing_api | process_zip_file:834 | Zip file processing completed. 1 folders processed | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:834
2025-08-25 18:08:14,237 | INFO     | image_processing_api | process_images:902 | Request 54916133: Processing completed in 11.420s | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:902
2025-08-25 18:08:14,238 | DEBUG    | image_processing_api | process_images:907 | Request 54916133: Cleaned up temporary zip file | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:907
2025-08-25 18:08:14,238 | INFO     | image_processing_api | process_images:909 | Request 54916133: Successfully processed 1 folders | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:909
2025-08-25 18:08:14,244 | INFO     | image_processing_api | add_request_id:184 | Request 54916133 completed: 200 in 13.934s | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:184
2025-08-25 18:13:37,065 | INFO     | image_processing_api | add_request_id:177 | Request c352179f started: POST http://ed72b6e851e8.ngrok-free.app/process-images | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:177
2025-08-25 18:13:40,078 | INFO     | image_processing_api | process_images:872 | Request c352179f: Processing images from file: input.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:872
2025-08-25 18:13:40,078 | INFO     | image_processing_api | process_images:880 | Request c352179f: File size: 9553151 bytes, Content-Type: application/zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:880
2025-08-25 18:13:40,080 | DEBUG    | image_processing_api | process_images:886 | Request c352179f: Created temp directory: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1466bv0k | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:886
2025-08-25 18:13:40,080 | DEBUG    | image_processing_api | process_images:890 | Request c352179f: Saving uploaded file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1466bv0k/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:890
2025-08-25 18:13:40,097 | INFO     | image_processing_api | process_images:895 | Request c352179f: File saved successfully, starting processing | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:895
2025-08-25 18:13:40,097 | INFO     | image_processing_api | process_zip_file:694 | Starting zip file processing: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1466bv0k/uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:694
2025-08-25 18:13:40,097 | DEBUG    | image_processing_api | process_zip_file:698 | Extracting zip file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1466bv0k | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:698
2025-08-25 18:13:40,133 | INFO     | image_processing_api | process_zip_file:702 | Successfully extracted zip file to: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1466bv0k | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:702
2025-08-25 18:13:40,133 | DEBUG    | image_processing_api | process_zip_file:711 | Extracted 3 files from zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:711
2025-08-25 18:13:40,133 | DEBUG    | image_processing_api | process_zip_file:712 | Extracted 0 directories from zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:712
2025-08-25 18:13:40,133 | DEBUG    | image_processing_api | process_zip_file:713 | Directory structure: ['6292393310444_0001.jpg', '6292393310444_0002.jpg', 'uploaded.zip'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:713
2025-08-25 18:13:40,134 | DEBUG    | image_processing_api | process_zip_file:721 | File: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:721
2025-08-25 18:13:40,134 | DEBUG    | image_processing_api | process_zip_file:721 | File: 6292393310444_0002.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:721
2025-08-25 18:13:40,134 | DEBUG    | image_processing_api | process_zip_file:721 | File: uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:721
2025-08-25 18:13:40,134 | DEBUG    | image_processing_api | process_zip_file:724 | Loading prompt library | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:724
2025-08-25 18:13:40,134 | DEBUG    | image_processing_api | load_json_file:195 | Loading JSON file: promptlib.json | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:195
2025-08-25 18:13:40,140 | DEBUG    | image_processing_api | load_json_file:200 | Successfully loaded promptlib.json: 111 items | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:200
2025-08-25 18:13:40,140 | INFO     | image_processing_api | process_zip_file:737 | Selecting images from extracted folders | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:737
2025-08-25 18:13:40,141 | INFO     | image_processing_api | process_zip_file:740 | Temp directory contents: ['6292393310444_0001.jpg', '6292393310444_0002.jpg', 'uploaded.zip'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:740
2025-08-25 18:13:40,143 | INFO     | image_processing_api | process_zip_file:747 | Found file: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:747
2025-08-25 18:13:40,145 | INFO     | image_processing_api | process_zip_file:747 | Found file: 6292393310444_0002.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:747
2025-08-25 18:13:40,146 | INFO     | image_processing_api | process_zip_file:747 | Found file: uploaded.zip | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:747
2025-08-25 18:13:40,146 | INFO     | image_processing_api | select_all_images_per_folder:449 | Selecting images from base folder: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1466bv0k | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:449
2025-08-25 18:13:40,146 | INFO     | image_processing_api | select_all_images_per_folder:450 | Base folder exists: True | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:450
2025-08-25 18:13:40,151 | INFO     | image_processing_api | select_all_images_per_folder:451 | Base folder is directory: True | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:451
2025-08-25 18:13:40,185 | DEBUG    | image_processing_api | select_all_images_per_folder:459 | Scanning base folder: /var/folders/c1/ldxrmn552j738t4qrsd_czr40000gn/T/tmp1466bv0k | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:459
2025-08-25 18:13:40,185 | DEBUG    | image_processing_api | select_all_images_per_folder:461 | Items in base folder: ['6292393310444_0001.jpg', '6292393310444_0002.jpg', 'uploaded.zip'] | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:461
2025-08-25 18:13:40,185 | INFO     | image_processing_api | select_all_images_per_folder:506 | Detected flat structure - creating virtual folders | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:506
2025-08-25 18:13:40,185 | INFO     | image_processing_api | select_all_images_per_folder:515 | Found 2 images in flat structure | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:515
2025-08-25 18:13:40,186 | INFO     | image_processing_api | select_all_images_per_folder:556 | Created folder group_6292393310444: 2 images (0 model images) | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:556
2025-08-25 18:13:40,187 | INFO     | image_processing_api | select_all_images_per_folder:558 | Total folders processed: 1 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:558
2025-08-25 18:13:40,187 | INFO     | image_processing_api | process_zip_file:754 | Found 1 folders to process | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:754
2025-08-25 18:13:40,187 | INFO     | image_processing_api | process_zip_file:759 | Processing folder: group_6292393310444 with 2 images | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:759
2025-08-25 18:13:40,188 | DEBUG    | image_processing_api | process_zip_file:765 | Detecting gender for folder: group_6292393310444 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:765
2025-08-25 18:13:40,188 | INFO     | image_processing_api | detect_gender_from_image:400 | Detecting gender from image: 6292393310444_0001.jpg | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:400
2025-08-25 18:13:40,188 | DEBUG    | image_processing_api | api_call_with_retry:241 | Starting API call with retry logic: _detect_gender_internal | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:241
2025-08-25 18:13:40,189 | DEBUG    | image_processing_api | api_call_with_retry:245 | API call attempt 1/5 | /Users/apple/Desktop/Automation Dashboard API/PromptMap n8n Working/app.py:245
